,Rank,Code,Company,Sector,Mkt Cap,Code_asx,Annual % increase,Volatility
583,719,REIT,Vaneck Ftse International Property (Hedged) ETF,Financials,$188.58 M,REIT.AX,-13.63,0.17122125985434783
584,720,FRI,Finbar Group Ltd,Real Estate,$187.76 M,FRI.AX,-19.3,0.29350843095530876
585,721,DUB,Dubber Corporation Ltd,Information Technology,$187.53 M,DUB.AX,-80.1,0.7475684148277536
586,722,SVL,Silver Mines Ltd,Materials,$187.32 M,SVL.AX,-44.23,0.5538084997861905
587,723,AHQ,Allegiance Coal Ltd,Materials,$187.11 M,AHQ.AX,-28.89,0.650367120410254
588,724,ZER,ZETA Resources Ltd,Materials,$186.62 M,ZER.AX,-10.81,0.3955709191065174
589,725,QUS,Betashares S&P 500 EQUAL Weight ETF,Financials,$186.54 M,QUS.AX,-1.48,0.15033066237137332
590,726,RTR,Rumble Resources Ltd,Materials,$186.43 M,RTR.AX,-44.95,0.7599730539643601
591,728,TGP,360 Capital Group,Financials,$185.05 M,TGP.AX,-6.63,0.2933847213486685
592,730,BYE,Byron Energy Ltd,Energy,$183.84 M,BYE.AX,61.91,0.7284435933276744
593,731,PGC,Paragon Care Ltd,Health Care,$183.62 M,PGC.AX,9.62,0.48351302045493244
594,732,HLA,Healthia Ltd,Health Care,$183.49 M,HLA.AX,-28.12,0.4436621221938495
595,733,PBP,Probiotec Ltd,Health Care,$182.98 M,PBP.AX,0.45,0.3329374860939734
596,734,AVJ,Avjennings Ltd,Real Estate,$182.8 M,AVJ.AX,-27.42,0.3245626170571886
597,735,MVB,Vaneck Australian Banks ETF,Financials,$182.79 M,MVB.AX,-8.15,0.18162546842796828
598,738,GLB,Globe International Ltd,Consumer Discretionary,$180.37 M,GLB.AX,-23.68,0.4026375850284963
599,739,WAR,Wam Strategic Value Ltd,Financials,$180.13 M,WAR.AX,-20.95,0.13293338815089442
600,740,NOL,Nobleoak Life Ltd,Financials,$180.04 M,NOL.AX,7.69,0.3175929452935482
601,742,QPM,Queensland Pacific Metals Ltd,Materials,$179.82 M,QPM.AX,-17.86,0.8374439873153061
602,743,MFB,My Food Bag Group Ltd,Consumer Staples,$179.4 M,MFB.AX,-42.64,0.32375270649940985
603,744,KPG,Kelly Partners Group Holdings Ltd,Industrials,$176.4 M,KPG.AX,11.36,0.44965079585167206
604,746,MVR,Vaneck Australian Resources ETF,Financials,$175.9 M,MVR.AX,4.71,0.2353796222690953
605,747,LPD,Lepidico Ltd,Materials,$175.69 M,LPD.AX,145.46,1.0169774304922485
606,748,VML,Vital Metals Ltd,Materials,$175.16 M,VML.AX,-4.55,0.6204342727205994
607,749,CAT,Catapult Group International Ltd,Information Technology,$175.1 M,CAT.AX,-62.62,0.5218672067868945
608,752,SHJ,Shine Justice Ltd,Consumer Discretionary,$173.26 M,SHJ.AX,-11.5,0.36819377671174597
609,753,NRZ,Neurizer Ltd,Energy,$171.79 M,NRZ.AX,24.14,0.8872148378968627
610,755,PRT,PRT Company Ltd,Communication Services,$170.34 M,PRT.AX,106.67,1.4599091117213687
611,756,BRI,Big River Industries Ltd,Materials,$170.21 M,BRI.AX,-5.91,0.4136136747652741
612,757,AMA,AMA Group Ltd,Industrials,$168.7 M,AMA.AX,-70.47,0.5805021267090232
613,758,AGE,Alligator Energy Ltd,Energy,$168.63 M,AGE.AX,44.44,1.1192026747542752
614,759,VLUE,Vaneck MSCI International Value ETF,Financials,$167.31 M,VLUE.AX,-0.79,0.1399511951850129
615,760,A1M,Aic Mines Ltd,Materials,$166.73 M,A1M.AX,100.0,0.9162822075915521
616,761,VIA,Viagold Rare Earth Resources Holdings Ltd,Materials,$166.62 M,VIA.AX,2339.02,1.7858429011525248
