Rank,Code,Company,Price,1 Day,1 Week,1 Month,1 Year,Sector,Mkt Cap
1745,GTE,Great Western Exploration Ltd,$0.07,0.00%,-8.75%,-2.67%,-33.64%,Materials,$13.14 M
1746,BAT,Battery Minerals Ltd,$0.01,0.00%,0.00%,-37.50%,-70.59%,Materials,$13.13 M
1747,SIX,Sprintex Ltd,$0.05,1.96%,1.96%,-3.70%,-31.58%,Consumer Discretionary,$13.12 M
1748,XRG,Xreality Group Ltd,$0.03,6.90%,0.00%,-32.61%,82.35%,Consumer Discretionary,$13.06 M
1749,ADY,Admiralty Resources NL,$0.01,0.00%,-16.67%,-23.08%,-41.18%,Materials,$13.04 M
1750,GLH,Global Health Ltd,$0.23,0.00%,2.22%,-17.86%,-51.58%,Health Care,$13.03 M
1751,CR9,Corella Resources Ltd,$0.04,0.00%,-4.65%,-4.65%,-6.82%,Materials,$12.96 M
1752,AJX,Alexium International Group Ltd,$0.02,11.11%,-9.09%,-37.50%,-56.52%,Materials,$12.91 M
1753,OSX,Osteopore Ltd,$0.11,4.76%,-12.00%,-35.29%,-76.34%,Health Care,$12.9 M
1754,ARN,Aldoro Resources Ltd,$0.13,-3.70%,-10.35%,-40.91%,-58.07%,Materials,$12.9 M
1755,DCX,Discovex Resources Ltd,$0.01,0.00%,-12.80%,-19.50%,-12.80%,Materials,$12.84 M
1756,PFT,Pure Foods Tasmania Ltd,$0.21,-12.77%,-8.89%,-21.15%,-68.46%,Consumer Staples,$12.67 M
1757,NHE,Noble Helium Ltd,$0.17,-8.33%,10.00%,-19.51%,-17.50%,Energy,$12.64 M
1758,IRX,Inhalerx Ltd,$0.08,0.00%,11.94%,-11.77%,-25.00%,Health Care,$12.64 M
1759,PGM,Platina Resources Ltd,$0.03,-3.33%,-6.45%,-29.27%,-66.28%,Materials,$12.6 M
1760,PXX,Polarx Ltd,$0.01,0.00%,-12.50%,-12.50%,-57.36%,Materials,$12.59 M
1761,DDD,3D Resources Ltd,$0.00,0.00%,0.00%,0.00%,-40.00%,Materials,$12.55 M
1762,KNO,Knosys Ltd,$0.06,-4.92%,-4.92%,-32.56%,-55.39%,Information Technology,$12.54 M
